2018-2019 Award Year Direct Loan Volume by School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Cumulative Activity through Quarter ending (6/30/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Common Origination and Disbursement (COD) System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of Oct 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,DL SUBSIDIZED,,,,,DL UNSUBSIDIZED - UNDERGRADUATE,,,,,DL UNSUBSIDIZED - GRADUATE,,,,,DL PARENT PLUS,,,,,DL GRAD PLUS,,,,
02551100,PJ'S COLLEGE OF COSMETOLOGY,KY,421412434,Proprietary,39,41,"$122,365.00",72,"$115,365.00",37,39,"$152,587.00",70,"$146,587.00",-,-, -,-, -,2,2,"$13,500.00",3,"$8,500.00",-,-, -,-, -
02552400,ACADEMY OF HAIR TECHNOLOGY,SC,296152363,Proprietary,32,32,"$85,353.00",60,"$81,853.00",19,19,"$55,514.00",35,"$53,347.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02553000,MODERN COLLEGE OF DESIGN (THE),OH,454401612,Proprietary,169,172,"$638,904.00",333,"$637,882.00",171,174,"$422,280.00",339,"$422,280.00",-,-, -,-, -,115,125,"$2,528,104.00",265,"$2,524,751.00",-,-, -,-, -
02553500,ASSOCIATED TECHNICAL COLLEGE,CA,921013245,Proprietary,70,70,"$239,857.00",128,"$222,357.00",69,69,"$402,570.00",128,"$378,570.00",-,-, -,-, -,6,6,"$33,000.00",12,"$33,000.00",-,-, -,-, -
02553600,DIVERSIFIED VOCATIONAL COLLEGE,CA,900171604,Proprietary,143,143,"$472,451.00",241,"$418,201.00",178,178,"$996,160.00",301,"$867,205.00",-,-, -,-, -,1,1,"$5,500.00",2,"$5,500.00",-,-, -,-, -
02554500,HAZLETON AREA CAREER CENTER,PA,182021597,Public,10,10,"$17,590.00",12,"$17,590.00",8,8,"$18,653.00",9,"$18,653.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02554800,VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOL-METAIRE,LA,700024705,Proprietary,293,333,"$979,354.00",596,"$933,705.00",329,386,"$1,354,368.00",700,"$1,248,926.00",-,-, -,-, -,32,34,"$210,751.00",70,"$206,008.00",-,-, -,-, -
02555400,UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,TX,770300240,Public,102,106,"$491,454.00",274,"$487,786.00",69,77,"$400,905.00",189,"$396,237.00",7,7,"$127,750.00",16,"$127,750.00",7,7,"$93,143.00",19,"$93,143.00",2,2,"$21,187.00",6,"$21,187.00"
02556100,ETI SCHOOL OF SKILLED TRADES,IL,605275627,Proprietary,184,184,"$576,790.00",306,"$520,790.00",181,183,"$860,845.00",315,"$775,619.00",-,-, -,-, -,28,28,"$206,933.00",47,"$185,660.00",-,-, -,-, -
02556500,YUKON BEAUTY COLLEGE,OK,730994108,Proprietary,16,18,"$52,332.00",34,"$52,332.00",17,22,"$77,166.00",42,"$77,166.00",-,-, -,-, -,2,2,"$22,509.00",4,"$22,509.00",-,-, -,-, -
02556600,NILES SCHOOL OF COSMETOLOGY,IL,607142827,Proprietary,4,4,"$13,434.00",8,"$13,434.00",3,3,"$10,566.00",6,"$10,566.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02556800,PAUL MITCHELL THE SCHOOL SALT LAKE CITY,UT,841177204,Proprietary,305,336,"$954,371.00",583,"$861,951.00",293,323,"$1,092,759.00",572,"$982,536.00",-,-, -,-, -,1,2,"$9,420.00",3,"$9,420.00",-,-, -,-, -
02558700,PRISM CAREER INSTITUTE,PA,191522923,Proprietary,959,"1,003","$3,168,074.00","1,768","$2,864,599.00","1,019","1,074","$5,402,537.00","1,909","$4,853,258.00",-,-, -,-, -,64,64,"$359,973.00",109,"$326,070.00",-,-, -,-, -
02559000,UNIVERSITY OF ADVANCING COMPUTER TECHNOLOGY,AZ,852831056,Proprietary,502,700,"$2,471,393.00","1,256","$2,439,143.00",529,739,"$2,562,791.00","1,323","$2,522,572.00",23,34,"$522,395.00",59,"$480,637.00",158,221,"$2,635,612.00",414,"$2,629,525.00",-,-, -,-, -
02559300,UNITED EDUCATION INSTITUTE,CA,902552933,Proprietary,"4,968","5,371","$15,413,710.00","8,358","$13,107,751.00","4,884","5,478","$24,563,531.00","8,797","$20,747,208.00",-,-, -,-, -,525,527,"$4,456,659.00",859,"$3,824,387.00",-,-, -,-, -
02559400,INTERCOAST COLLEGES,CA,928051656,Proprietary,"1,005","1,139","$2,868,022.00","2,024","$2,634,567.00",997,"1,143","$4,333,789.00","2,028","$3,969,705.00",-,-, -,-, -,58,68,"$448,809.00",124,"$418,034.00",-,-, -,-, -
02559500,SALON PROFESSIONAL ACADEMY (THE),ID,836865104,Proprietary,54,63,"$191,390.00",119,"$186,140.00",49,58,"$196,080.00",113,"$189,302.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02560000,CASAL AVEDA INSTITUTE,OH,445152240,Proprietary,85,99,"$285,782.00",180,"$265,733.00",96,111,"$362,924.00",208,"$346,340.00",-,-, -,-, -,6,6,"$37,483.00",11,"$34,712.00",-,-, -,-, -
02560200,PHILLIPS THEOLOGICAL SEMINARY -,OK,741165612,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,40,44,"$642,576.00",91,"$609,348.00",-,-, -,-, -,2,2,"$20,171.00",4,"$20,171.00"
02560600,PINNACLE INSTITUTE OF COSMETOLOGY,NC,281158020,Proprietary,45,48,"$148,444.00",89,"$142,194.00",47,50,"$184,886.00",93,"$180,751.00",-,-, -,-, -,7,8,"$54,300.00",15,"$54,300.00",-,-, -,-, -
02560700,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,OH,456013977,Public,76,76,"$199,660.00",137,"$199,660.00",78,78,"$314,321.00",139,"$314,321.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02561600,SOLENT UNIVERSITY,,SO14 0YN,Foreign-Public,6,6,"$23,000.00",18,"$23,000.00",7,7,"$26,500.00",21,"$26,500.00",1,1,"$20,500.00",2,"$13,666.00",4,4,"$110,631.00",13,"$110,631.00",-,-, -,-, -
02562300,APOLLO CAREER CENTER,OH,458061497,Public,113,122,"$325,705.00",361,"$325,705.00",114,128,"$527,454.00",375,"$520,871.00",-,-, -,-, -,1,1,"$5,088.00",1,"$2,544.00",-,-, -,-, -
02563000,RAPHAEL'S SCHOOL OF BEAUTY CULTURE,OH,446012847,Proprietary,123,127,"$333,044.00",210,"$305,626.00",112,117,"$315,592.00",185,"$283,988.00",-,-, -,-, -,3,3,"$27,911.00",5,"$27,911.00",-,-, -,-, -
02564700,ELAINE STEVEN BEAUTY COLLEGE,MO,631362343,Proprietary,116,123,"$335,629.00",184,"$281,830.00",117,122,"$380,051.00",193,"$320,126.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02568100,TEXAS BARBER COLLEGE,TX,770367450,Proprietary,524,572,"$1,704,252.00",946,"$1,527,629.00",526,576,"$2,402,570.00",963,"$2,165,489.00",-,-, -,-, -,5,5,"$22,027.00",8,"$15,355.00",-,-, -,-, -
02568500,GRABBER SCHOOL OF HAIR DESIGN,MO,631263933,Proprietary,175,208,"$631,303.00",395,"$609,541.00",201,238,"$962,258.00",457,"$925,220.00",-,-, -,-, -,21,25,"$110,296.00",48,"$108,384.00",-,-, -,-, -
02568600,MAHONING COUNTY CAREER AND TECHNICAL CENTER,OH,444069710,Public,23,23,"$78,609.00",44,"$76,859.00",22,22,"$90,300.00",43,"$89,550.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02568800,SUSSEX COUNTY COMMUNITY COLLEGE,NJ,078601149,Public,333,333,"$886,020.00",595,"$884,270.00",454,455,"$1,542,355.00",820,"$1,539,355.00",-,-, -,-, -,25,25,"$126,327.00",49,"$126,327.00",-,-, -,-, -
02569600,SEARCY BEAUTY COLLEGE,AR,721430000,Proprietary,58,61,"$163,065.00",102,"$156,315.00",60,63,"$238,175.00",106,"$223,008.00",-,-, -,-, -,2,2,"$9,750.00",2,"$5,750.00",-,-, -,-, -
02570300,LOS ANGELES ORT TECHNICAL INSTITUTE,CA,900484904,Private-Nonprofit,98,108,"$349,075.00",187,"$333,575.00",84,100,"$384,790.00",179,"$372,671.00",-,-, -,-, -,2,2,"$10,929.00",3,"$9,220.00",-,-, -,-, -
02570400,EDUCATIONAL TECHNICAL COLLEGE (EDUTEC),PR,009670000,Proprietary,1,1,"$3,500.00",2,"$3,500.00",1,1,"$3,500.00",2,"$3,500.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02572000,VISTA COLLEGE,TX,799252021,Proprietary,"3,446","4,383","$11,500,209.00","9,242","$11,329,534.00","3,328","4,228","$15,996,021.00","8,858","$15,739,150.00",-,-, -,-, -,271,349,"$1,434,028.00",793,"$1,404,537.00",-,-, -,-, -
02572800,VISTA COLLEGE,TX,750800000,Proprietary,738,933,"$2,501,862.00","2,583","$2,333,864.00",730,888,"$3,539,134.00","2,506","$3,305,409.00",-,-, -,-, -,5,6,"$21,429.00",17,"$21,429.00",-,-, -,-, -
02573100,EVANS HAIRSTYLING COLLEGE OF CEDAR CITY,UT,847202523,Proprietary,15,15,"$46,500.00",26,"$40,250.00",21,22,"$69,100.00",40,"$62,050.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02573200,LA BELLE BEAUTY ACADEMY,FL,331352827,Proprietary,111,111,"$321,273.00",188,"$269,387.00",111,111,"$303,370.00",189,"$258,701.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02573700,INSTITUTE FOR CLINICAL SOCIAL WORK,IL,606051229,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,27,27,"$522,900.00",55,"$522,900.00",-,-, -,-, -,9,9,"$241,500.00",18,"$241,500.00"
02575400,INTERNATIONAL CULINARY CENTER,NY,100132618,Proprietary,109,109,"$240,300.00",196,"$228,633.00",104,105,"$403,771.00",197,"$385,771.00",-,-, -,-, -,68,68,"$1,813,689.00",119,"$1,721,881.00",-,-, -,-, -
02576900,CHARTER COLLEGE,WA,986837575,Proprietary,"3,076","3,899","$11,105,380.00","8,616","$10,848,518.00","3,206","4,367","$15,506,795.00","8,601","$15,129,815.00",-,-, -,-, -,11,11,"$131,162.00",25,"$126,635.00",-,-, -,-, -
02577000,PAUL MITCHELL THE SCHOOL - ESANI,GA,300761507,Proprietary,224,268,"$743,755.00",502,"$721,505.00",264,307,"$1,093,530.00",590,"$1,043,363.00",-,-, -,-, -,24,26,"$184,370.00",49,"$175,140.00",-,-, -,-, -
02577900,SANTA BARBARA BUSINESS COLLEGE,CA,933091664,Proprietary,404,552,"$1,446,926.00","1,398","$1,336,851.00",347,434,"$1,245,733.00","1,083","$1,158,933.00",2,2,"$6,470.00",4,"$6,470.00",9,11,"$65,796.00",29,"$62,723.00",-,-, -,-, -
02578000,SANTA BARBARA BUSINESS COLLEGE,CA,934546943,Proprietary,109,140,"$349,066.00",363,"$337,263.00",94,121,"$340,791.00",321,"$331,550.00",-,-, -,-, -,11,13,"$107,639.00",36,"$105,866.00",-,-, -,-, -
02578200,NOSSI COLLEGE OF ART,TN,371155138,Proprietary,261,432,"$1,240,240.00",633,"$1,240,240.00",260,417,"$1,326,098.00",624,"$1,325,098.00",-,-, -,-, -,70,98,"$717,315.00",168,"$717,315.00",-,-, -,-, -
02578400,MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH,MD,207236010,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,662,663,"$10,656,380.00","1,634","$10,642,713.00",-,-, -,-, -,160,171,"$3,477,283.00",417,"$3,477,283.00"
02579600,MURDOCH UNIVERSITY,,6150,Foreign-Public,1,1,"$3,500.00",1,"$3,500.00",2,2,"$18,500.00",2,"$18,500.00",13,13,"$229,804.00",16,"$229,804.00",-,-, -,-, -,9,15,"$284,107.00",18,"$284,107.00"
02580200,ATLANTA SCHOOL OF MASSAGE,GA,303386704,Proprietary,211,217,"$513,442.00",364,"$426,700.00",245,261,"$1,023,208.00",440,"$833,249.00",-,-, -,-, -,18,18,"$175,436.00",33,"$149,046.00",-,-, -,-, -
02581100,CLAREMORE BEAUTY COLLEGE,OK,740177034,Proprietary,1,1,"$3,239.00",1,"$1,516.00",1,1,"$3,500.00",1,"$3,500.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02582200,"GUY'S ACADEMY HAIR, SKIN & NAILS",LA,711052404,Proprietary,51,56,"$161,692.00",100,"$159,942.00",56,61,"$260,592.00",113,"$257,592.00",-,-, -,-, -,9,9,"$80,142.00",19,"$80,142.00",-,-, -,-, -
02582700,CORTIVA INSTITUTE - TUCSON,AZ,857103503,Proprietary,72,76,"$141,160.00",158,"$137,876.00",82,86,"$253,597.00",182,"$249,321.00",-,-, -,-, -,3,3,"$18,703.00",5,"$18,703.00",-,-, -,-, -
02583000,GWINNETT COLLEGE,GA,300473447,Proprietary,601,677,"$2,083,994.00","1,371","$1,741,274.00",691,802,"$3,839,166.00","1,581","$3,066,894.00",-,-, -,-, -,35,36,"$311,395.00",79,"$247,578.00",-,-, -,-, -
02584400,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF MASSACHUSETTS,RI,028601752,Proprietary,"1,227","1,241","$2,858,552.00","2,251","$2,658,586.00","1,282","1,391","$4,815,878.00","2,514","$4,484,432.00",-,-, -,-, -,123,127,"$610,928.00",237,"$579,832.00",-,-, -,-, -
02584900,FIRST INSTITUTE,IL,600147489,Proprietary,118,118,"$377,905.00",181,"$305,193.00",122,122,"$546,630.00",188,"$430,569.00",-,-, -,-, -,10,10,"$88,812.00",14,"$62,179.00",-,-, -,-, -
02586400,TRUMBULL CAREER AND TECHNICAL CENTER-ADULT TRAINING CENTER,OH,444831997,Public,41,54,"$127,007.00",103,"$121,757.00",42,55,"$199,361.00",107,"$190,361.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02586900,HARRIS SCHOOL OF BUSINESS,NJ,080432604,Proprietary,410,431,"$1,086,357.00",763,"$1,029,469.00",436,459,"$1,897,429.00",828,"$1,803,145.00",-,-, -,-, -,35,38,"$209,464.00",70,"$202,653.00",-,-, -,-, -
02587500,UNIVERSIDAD ANA G. MÉNDEZ - CUPEY CAMPUS,PR,009262602,Private-Nonprofit,"5,211","7,752","$18,118,487.00","8,738","$18,028,167.00","3,265","5,159","$13,100,184.00","5,553","$13,060,891.00","2,352","4,006","$30,701,460.00","4,867","$30,579,202.00",1,1,"$5,500.00",1,"$5,500.00",5,7,"$57,352.00",9,"$57,352.00"
02587600,ORLO SCHOOL OF HAIR DESIGN & COSMETOLOGY (THE),NY,122061723,Proprietary,34,34,"$115,577.00",61,"$103,327.00",43,48,"$185,672.00",85,"$165,580.00",-,-, -,-, -,2,2,"$15,962.00",4,"$15,962.00",-,-, -,-, -
02587700,HAIR PROFESSIONALS CAREER COLLEGE,IL,604651929,Proprietary,42,42,"$115,266.00",72,"$103,926.00",46,46,"$196,962.00",78,"$174,775.00",-,-, -,-, -,1,1,"$6,392.00",2,"$6,392.00",-,-, -,-, -
02588000,UNIVERSITY OF ULSTER,,BT52 1SA,Foreign-Public,1,1,"$3,500.00",2,"$3,500.00",1,1,"$2,000.00",2,"$2,000.00",6,6,"$111,623.00",12,"$111,623.00",-,-, -,-, -,4,4,"$42,913.00",8,"$42,913.00"
02588200,DOUGLAS J AVEDA INSTITUTE,MI,488234351,Proprietary,634,751,"$2,085,244.00","1,444","$2,072,368.00",734,884,"$2,779,986.00","1,755","$2,753,261.00",-,-, -,-, -,125,161,"$1,196,132.00",344,"$1,189,997.00",-,-, -,-, -
02588500,OHIO STATE SCHOOL OF COSMETOLOGY,OH,430562300,Proprietary,40,42,"$115,134.00",72,"$105,504.00",28,30,"$94,018.00",49,"$81,759.00",-,-, -,-, -,4,4,"$28,800.00",7,"$24,700.00",-,-, -,-, -
02588600,SEMINARIO EVANGELICO DE PUERTO RICO,PR,009252207,Private-Nonprofit,-,-, -,-, -,2,2,"$7,724.00",2,"$7,724.00",35,56,"$282,317.00",60,"$282,317.00",-,-, -,-, -,-,-, -,-, -
02591600,NORTH-WEST COLLEGE,CA,914111611,Proprietary,203,208,"$669,226.00",330,"$566,098.00",245,252,"$1,115,210.00",419,"$957,291.00",-,-, -,-, -,26,27,"$140,362.00",41,"$116,593.00",-,-, -,-, -
02591900,BRIGHTWOOD COLLEGE,TX,799071525,Proprietary,255,257,"$625,889.00",380,"$427,897.00",262,268,"$1,015,643.00",385,"$683,335.00",-,-, -,-, -,10,10,"$44,014.00",18,"$37,320.00",-,-, -,-, -
02593800,CONCORDIA UNIVERSITY OF EDMONTON,,T5B 4E4,Foreign-Private,2,2,"$8,000.00",4,"$8,000.00",2,2,"$4,000.00",4,"$4,000.00",-,-, -,-, -,1,1,"$7,000.00",2,"$7,000.00",-,-, -,-, -
02594300,COLLEGEAMERICA DENVER,CO,802223380,Private-Nonprofit,259,381,"$1,164,106.00",702,"$1,152,356.00",242,353,"$1,264,468.00",640,"$1,254,500.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02595000,HAIR ACADEMY THE,TN,373342909,Proprietary,28,31,"$81,181.00",54,"$72,601.00",25,27,"$74,796.00",51,"$69,896.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02595700,HILLSDALE BEAUTY COLLEGE,MI,492420000,Proprietary,31,34,"$99,898.00",58,"$83,448.00",31,35,"$161,399.00",59,"$128,899.00",-,-, -,-, -,1,1,"$10,000.00",2,"$10,000.00",-,-, -,-, -
02596400,SPARTAN COLLEGE OF AERONAUTICS & TECHNOLOGY,CA,903012904,Proprietary,562,718,"$2,336,704.00","1,230","$2,197,216.00",560,730,"$2,842,669.00","1,256","$2,670,659.00",-,-, -,-, -,116,169,"$1,170,660.00",300,"$1,100,418.00",-,-, -,-, -
02597300,SOUTH BAYLO UNIVERSITY,CA,928011701,Private-Nonprofit,11,12,"$42,405.00",22,"$31,403.00",6,6,"$20,665.00",11,"$20,665.00",135,171,"$2,783,102.00",407,"$2,317,793.00",-,-, -,-, -,12,14,"$232,256.00",31,"$198,005.00"
02599400,NEW YORK COLLEGE OF HEALTH PROFESSIONS,NY,117914413,Private-Nonprofit,255,317,"$1,212,251.00",560,"$1,192,306.00",191,243,"$1,300,801.00",422,"$1,268,336.00",55,71,"$1,039,192.00",124,"$1,019,581.00",2,2,"$10,317.00",3,"$10,317.00",1,1,"$28,664.00",2,"$28,664.00"
02599700,VATTEROTT COLLEGE,MO,633014428,Proprietary,"1,284","1,329","$2,506,059.00","2,214","$2,504,237.00","1,246","1,300","$3,436,128.00","2,131","$3,434,376.00",-,-, -,-, -,46,48,"$165,177.00",86,"$163,168.00",-,-, -,-, -
02600100,NEW YORK ACADEMY OF ART (THE),NY,100132911,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,57,57,"$1,082,569.00",112,"$1,082,569.00",-,-, -,-, -,51,51,"$1,819,588.00",116,"$1,819,588.00"
02600200,OCEAN CORPORATION (THE),TX,770993479,Proprietary,110,112,"$353,514.00",197,"$336,014.00",131,131,"$699,189.00",235,"$664,939.00",-,-, -,-, -,30,30,"$525,376.00",54,"$481,551.00",-,-, -,-, -
02600900,AVEDA ARTS & SCIENCES INSTITUTE COVINGTON,LA,704332922,Proprietary,"1,812","2,008","$5,845,056.00","3,697","$5,540,560.00","2,045","2,288","$8,701,830.00","4,284","$8,208,423.00",-,-, -,-, -,254,256,"$1,803,522.00",494,"$1,743,892.00",-,-, -,-, -
02601100,OPELOUSAS SCHOOL OF COSMETOLOGY,LA,705706156,Proprietary,26,28,"$74,984.00",49,"$66,164.00",9,11,"$48,194.00",19,"$45,847.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02602100,NORTHWEST COLLEGE OF ART & DESIGN,WA,984024333,Proprietary,55,84,"$352,942.00",163,"$351,567.00",58,82,"$285,772.00",156,"$281,522.00",-,-, -,-, -,20,33,"$437,004.00",64,"$437,004.00",-,-, -,-, -
02602300,CENTRAL COAST COLLEGE,CA,939013301,Proprietary,147,147,"$449,723.00",273,"$389,595.00",134,134,"$454,401.00",246,"$382,208.00",-,-, -,-, -,27,27,"$105,109.00",51,"$89,844.00",-,-, -,-, -
02603100,CRAVE BEAUTY ACADEMY,KS,672035428,Proprietary,134,147,"$388,622.00",262,"$364,081.00",138,160,"$555,743.00",287,"$519,794.00",-,-, -,-, -,14,14,"$86,681.00",26,"$82,948.00",-,-, -,-, -
02603700,OREGON COLLEGE OF ORIENTAL MEDICINE,OR,972092859,Private-Nonprofit,-,-, -,-, -,1,1,"$5,699.00",1,"$5,699.00",206,304,"$4,172,916.00",632,"$4,172,916.00",-,-, -,-, -,187,491,"$5,130,148.00",802,"$5,130,148.00"
02603800,LORAIN COUNTY JVS ADULT CAREER CENTER,OH,440749799,Public,22,22,"$47,487.00",42,"$47,487.00",15,15,"$36,973.00",29,"$36,973.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02604700,CENTER FOR ADVANCED LEGAL STUDIES,TX,770421912,Proprietary,167,182,"$587,745.00",337,"$565,528.00",161,174,"$864,541.00",319,"$831,177.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02606300,PAUL MITCHELL THE SCHOOL WICHITA,KS,672261321,Proprietary,132,148,"$413,020.00",262,"$376,769.00",128,148,"$526,976.00",274,"$480,963.00",-,-, -,-, -,6,7,"$35,821.00",15,"$32,130.00",-,-, -,-, -
02607000,TRICOCI UNIVERSITY OF BEAUTY CULTURE,IN,474042419,Proprietary,77,82,"$212,188.00",144,"$202,362.00",85,91,"$314,471.00",189,"$297,623.00",-,-, -,-, -,14,14,"$110,166.00",27,"$110,166.00",-,-, -,-, -
02607100,PAUL MITCHELL THE SCHOOL BOISE,ID,837091662,Proprietary,308,344,"$966,266.00",634,"$926,599.00",341,384,"$1,325,586.00",725,"$1,269,058.00",-,-, -,-, -,15,15,"$110,220.00",29,"$102,720.00",-,-, -,-, -
02608000,NEOSHO BEAUTY COLLEGE,MO,648501525,Proprietary,20,20,"$50,731.00",32,"$48,981.00",21,22,"$75,903.00",36,"$75,903.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02609000,EMPEROR'S COLLEGE OF TRADITIONAL ORIENTAL MEDICINE,CA,904035609,Proprietary,-,-, -,-, -,-,-, -,-, -,119,147,"$2,326,674.00",326,"$1,865,813.00",-,-, -,-, -,73,98,"$1,967,163.00",209,"$1,515,578.00"
02609400,VALLEY COLLEGE,WV,254045711,Proprietary,414,454,"$1,587,396.00",795,"$1,458,767.00",435,530,"$2,546,376.00",930,"$2,346,744.00",-,-, -,-, -,47,49,"$284,248.00",86,"$260,842.00",-,-, -,-, -
02609500,CAREER TRAINING ACADEMY,PA,150683504,Proprietary,2,2,"$4,654.00",2,"$3,289.00",2,2,"$3,734.00",2,"$1,867.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02610500,XENON INTERNATIONAL ACADEMY II,NE,681273522,Proprietary,135,168,"$494,356.00",330,"$482,133.00",154,186,"$632,781.00",370,"$618,849.00",-,-, -,-, -,13,15,"$96,725.00",32,"$91,725.00",-,-, -,-, -
02611700,DUBLIN CITY UNIVERSITY,,D9,Foreign-Public,4,4,"$21,000.00",8,"$21,000.00",4,4,"$13,000.00",8,"$13,000.00",8,8,"$157,500.00",24,"$157,500.00",-,-, -,-, -,4,4,"$94,500.00",12,"$94,500.00"
02611900,KING'S UNIVERSITY (THE),,T6B 2H3,Foreign-Private,2,2,"$5,105.00",4,"$5,105.00",3,3,"$16,230.00",6,"$16,230.00",-,-, -,-, -,1,1,"$13,091.00",2,"$13,091.00",-,-, -,-, -
02612700,"SALON PROFESSIONAL ACADEMY - MELBOURNE, THE",FL,329043919,Proprietary,134,144,"$336,106.00",253,"$308,690.00",137,163,"$469,922.00",290,"$432,572.00",-,-, -,-, -,4,5,"$19,563.00",8,"$16,088.00",-,-, -,-, -
02615800,COLLEGE OF COURT REPORTING,IN,463855529,Proprietary,136,165,"$580,255.00",286,"$552,068.00",138,164,"$827,987.00",284,"$782,287.00",-,-, -,-, -,4,4,"$29,000.00",8,"$29,000.00",-,-, -,-, -
02616100,JEAN MADELINE AVEDA INSTITUTE,PA,191471542,Proprietary,215,267,"$671,260.00",508,"$666,010.00",255,320,"$1,017,098.00",623,"$996,223.00",-,-, -,-, -,43,53,"$243,992.00",104,"$243,992.00",-,-, -,-, -
02616600,SHEAR EGO INTERNATIONAL SCHOOL OF HAIR DESIGN,NY,146173501,Proprietary,61,61,"$172,093.00",118,"$168,593.00",69,69,"$250,687.00",133,"$239,937.00",-,-, -,-, -,12,12,"$96,046.00",24,"$96,046.00",-,-, -,-, -
02617000,CONTINENTAL SCHOOL OF BEAUTY CULTURE,NY,147602618,Proprietary,36,46,"$85,823.00",63,"$85,823.00",39,51,"$134,541.00",71,"$134,541.00",-,-, -,-, -,6,6,"$34,350.00",12,"$34,350.00",-,-, -,-, -
02617500,ALTIERUS CAREER COLLEGE,VA,221926808,Private-Nonprofit,14,17,"$13,935.00",34,"$13,935.00",13,14,"$4,296.00",26,"$4,296.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02619200,DENHAM SPRINGS BEAUTY COLLEGE,LA,707263829,Proprietary,35,37,"$104,594.00",66,"$99,489.00",44,51,"$172,258.00",92,"$161,176.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02620000,SANDUSKY CAREER CENTER,OH,448704786,Public,96,97,"$233,051.00",182,"$231,982.00",128,135,"$576,950.00",255,"$570,367.00",-,-, -,-, -,2,2,"$6,758.00",4,"$6,758.00",-,-, -,-, -
02621300,ACADEMY OF COSMETOLOGY,MT,597153544,Proprietary,12,12,"$27,807.00",23,"$26,057.00",11,12,"$39,155.00",23,"$38,405.00",-,-, -,-, -,1,1,"$5,000.00",2,"$5,000.00",-,-, -,-, -
02621500,CAREER COLLEGE OF NORTHERN NEVADA,NV,894347905,Proprietary,322,372,"$1,025,662.00","1,346","$946,120.00",300,347,"$1,096,594.00","1,246","$989,984.00",-,-, -,-, -,18,20,"$115,266.00",71,"$115,266.00",-,-, -,-, -
02622000,SOUTHWEST ACUPUNCTURE COLLEGE,NM,875056353,Proprietary,-,-, -,-, -,1,1,"$6,250.00",1,"$6,250.00",72,111,"$1,833,969.00",207,"$1,833,969.00",-,-, -,-, -,19,27,"$380,704.00",52,"$380,704.00"
02623600,PARADISE VALLEY COMMUNITY COLLEGE,AZ,850321210,Public,774,850,"$2,237,917.00","1,466","$2,237,917.00",251,281,"$778,156.00",497,"$778,156.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
02623800,CORTIVA INSTITUTE - SCOTTSDALE,AZ,852574218,Proprietary,17,17,"$37,534.00",41,"$36,886.00",20,20,"$83,813.00",48,"$82,702.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
03001800,WELCH COLLEGE,TN,370668460,Private-Nonprofit,128,128,"$483,415.00",243,"$483,415.00",126,130,"$374,688.00",246,"$374,688.00",11,11,"$90,538.00",23,"$90,538.00",26,26,"$290,646.00",52,"$290,646.00",-,-, -,-, -
03002000,HAIRMASTERS INSTITUTE OF COSMETOLOGY,IL,617015547,Proprietary,31,33,"$98,437.00",55,"$81,935.00",30,34,"$90,845.00",57,"$77,324.00",-,-, -,-, -,1,1,"$5,361.00",1,"$2,681.00",-,-, -,-, -
